payment_mode,product_category,seller_tier,delivery_zone,time_slot,order_value,delivery_attempts,customer_rating,days_to_deliver,address_quality_score,is_repeat_customer,holiday_season,seller_rating,pincode_density,rto
COD,Electronics,Silver,Tier2,Morning,2123.26,3,3,6,0.26,0,0,4.8,Medium,1
COD,Beauty,Silver,Tier1,Afternoon,788.36,1,3,6,0.74,0,0,4.5,Medium,1
COD,Books,Bronze,Tier1,Morning,913.88,1,5,8,0.84,1,0,4.2,Low,1
COD,Beauty,Silver,Metro,Evening,1353.9,1,2,1,0.97,1,0,3.7,Medium,0
COD,Electronics,Silver,Tier1,Afternoon,507.1,1,1,4,0.97,0,1,4.9,Medium,1
COD,Books,Silver,Tier2,Evening,677.66,1,4,7,0.71,0,0,3.0,Medium,0
Prepaid,Books,Bronze,Metro,Morning,1551.76,1,2,7,0.79,0,1,2.7,Medium,1
Prepaid,Beauty,Bronze,Tier2,Afternoon,1558.92,1,4,3,0.37,0,0,2.9,Low,0
Card,Books,Bronze,Rural,Afternoon,1689.33,1,4,4,0.67,1,0,2.7,High,1
Card,Sports,Bronze,Tier1,Morning,1912.87,1,4,2,0.46,1,1,3.4,Medium,1
Prepaid,Beauty,Silver,Metro,Evening,2229.57,1,5,3,0.29,0,0,4.1,High,0
COD,Home,Gold,Metro,Morning,831.93,3,4,10,0.59,1,0,4.6,High,0
Prepaid,Books,Gold,Metro,Afternoon,3859.83,1,4,4,0.54,1,0,3.2,Medium,0
UPI,Beauty,Gold,Metro,Afternoon,1302.25,2,3,10,0.26,1,0,2.8,Medium,0
COD,Home,Gold,Tier2,Afternoon,808.29,2,4,1,0.96,1,0,4.7,Low,0
COD,Books,Bronze,Metro,Morning,266.04,1,4,9,0.97,0,0,3.6,Medium,0
UPI,Home,Bronze,Tier2,Morning,1796.81,3,2,4,0.65,1,1,3.8,Medium,0
COD,Toys,Silver,Metro,Morning,1318.65,2,4,2,0.96,1,0,3.0,High,0
Prepaid,Books,Bronze,Metro,Evening,2697.99,1,5,2,0.41,1,0,2.6,High,0
Prepaid,Toys,Bronze,Metro,Evening,3429.35,1,2,3,0.83,1,0,3.8,Medium,0
COD,Electronics,Bronze,Metro,Evening,1586.44,1,4,4,0.96,0,0,3.4,Medium,0
COD,Electronics,Silver,Metro,Afternoon,1291.47,3,4,2,0.52,0,0,3.6,Medium,1
COD,Beauty,Gold,Tier2,Evening,1155.82,1,4,6,0.44,1,1,3.0,Medium,1
COD,Fashion,Silver,Tier2,Afternoon,860.23,1,3,4,0.76,0,0,3.0,Medium,0
COD,Toys,Gold,Metro,Evening,727.64,2,4,4,0.58,1,0,3.6,Medium,1
UPI,Toys,Silver,Tier2,Evening,1139.29,1,5,4,0.5,0,1,3.1,High,0
COD,Electronics,Bronze,Metro,Afternoon,593.3,2,3,4,0.82,0,0,3.0,High,1
Prepaid,Toys,Silver,Metro,Morning,1871.7,2,4,2,0.39,0,0,2.9,High,1
COD,Fashion,Gold,Tier2,Evening,619.24,1,4,2,0.75,0,0,3.6,High,0
Card,Home,Silver,Rural,Afternoon,1555.61,1,5,5,0.51,1,1,4.0,High,0
COD,Home,Silver,Tier2,Morning,1060.95,2,3,4,0.41,0,0,3.5,High,0
COD,Fashion,Gold,Metro,Morning,2173.88,2,5,1,0.94,1,0,4.8,High,0
UPI,Toys,Gold,Rural,Morning,2151.85,1,4,5,0.4,1,0,4.1,Medium,0
UPI,Toys,Bronze,Tier2,Afternoon,1463.06,2,4,5,0.51,1,0,3.5,Low,0
COD,Toys,Silver,Tier1,Evening,572.17,2,1,9,0.7,0,1,3.4,Medium,0
UPI,Sports,Bronze,Rural,Evening,2068.33,2,3,5,0.25,1,0,3.2,High,0
Prepaid,Beauty,Silver,Tier2,Evening,1316.02,1,2,3,0.28,1,0,3.3,High,0
Prepaid,Books,Silver,Tier2,Morning,873.99,1,4,3,0.7,0,1,3.4,Low,0
COD,Fashion,Silver,Tier2,Evening,1008.11,2,5,4,0.67,0,0,3.2,High,0
COD,Fashion,Bronze,Tier1,Afternoon,277.98,2,4,2,0.68,1,0,2.8,Low,1
Prepaid,Sports,Bronze,Tier2,Evening,1648.48,3,3,4,0.67,1,0,3.7,High,0
Prepaid,Fashion,Silver,Metro,Evening,1872.51,1,3,3,0.87,1,0,3.6,Medium,0
COD,Fashion,Gold,Rural,Evening,655.22,2,4,6,0.46,1,0,4.3,Medium,1
Prepaid,Sports,Gold,Tier2,Evening,939.01,2,5,5,0.34,1,0,4.8,Low,0
UPI,Fashion,Bronze,Tier2,Afternoon,1196.43,1,4,3,0.92,1,0,4.0,High,0
COD,Toys,Silver,Tier1,Evening,2956.95,1,5,4,0.65,0,1,4.3,High,0
Prepaid,Sports,Gold,Tier2,Morning,3155.66,3,5,5,0.83,1,0,3.8,Medium,0
COD,Beauty,Silver,Tier1,Evening,789.98,1,2,3,0.35,0,0,3.5,Medium,1
UPI,Electronics,Silver,Tier2,Morning,2687.29,1,4,8,0.57,0,1,2.6,Low,1
Prepaid,Toys,Bronze,Tier2,Morning,2571.89,2,4,2,0.29,0,0,3.4,Low,0
Card,Toys,Silver,Metro,Morning,1731.58,1,3,8,0.28,1,0,3.8,Medium,0
COD,Books,Gold,Tier1,Afternoon,1176.25,2,4,1,0.56,1,0,3.3,Low,1
COD,Sports,Gold,Tier1,Morning,530.58,1,5,4,0.68,1,0,3.4,Low,0
COD,Electronics,Silver,Tier1,Morning,468.68,1,4,3,0.94,1,1,3.4,High,0
COD,Fashion,Gold,Tier1,Evening,1455.67,2,5,8,0.24,0,0,3.9,High,1
COD,Electronics,Bronze,Metro,Afternoon,1972.03,2,4,6,0.5,1,1,4.9,Medium,1
Card,Beauty,Silver,Metro,Afternoon,3166.89,3,1,7,0.79,1,1,3.0,High,1
COD,Home,Silver,Tier2,Afternoon,1487.44,2,4,4,0.44,0,1,3.4,Medium,1
COD,Toys,Silver,Rural,Morning,1030.94,1,5,2,0.8,1,0,5.0,High,0
UPI,Sports,Bronze,Tier2,Morning,2173.03,1,3,3,0.96,1,0,3.5,Low,1
COD,Sports,Silver,Metro,Morning,1043.39,2,3,4,0.67,0,0,4.5,High,0
UPI,Electronics,Bronze,Tier2,Evening,1680.02,1,4,4,0.4,0,0,3.5,High,0
COD,Books,Silver,Tier1,Morning,1539.77,3,3,3,0.68,0,0,3.7,High,0
Prepaid,Beauty,Bronze,Tier2,Afternoon,2700.78,1,5,3,0.44,1,0,4.4,Medium,1
COD,Home,Bronze,Tier1,Evening,1562.05,2,5,3,0.34,0,0,3.9,Medium,1
COD,Beauty,Gold,Metro,Evening,1059.37,1,4,4,0.83,1,0,3.7,High,1
Card,Sports,Gold,Tier2,Afternoon,1631.04,3,5,5,0.73,1,1,2.8,High,1
COD,Fashion,Bronze,Tier1,Morning,1158.65,1,3,5,0.88,0,0,5.0,Low,1
Prepaid,Home,Bronze,Rural,Evening,2161.39,2,4,1,0.9,1,0,3.0,Medium,1
COD,Sports,Bronze,Tier2,Afternoon,1064.55,2,4,1,0.49,1,0,3.6,High,0
COD,Books,Bronze,Tier1,Morning,1051.37,2,4,2,0.29,0,0,4.1,High,1
UPI,Home,Silver,Tier2,Evening,3186.58,1,3,1,0.58,0,1,2.6,High,0
COD,Sports,Silver,Tier1,Evening,618.76,2,4,4,0.48,1,1,3.0,High,0
Prepaid,Books,Bronze,Metro,Evening,2202.39,3,5,2,0.71,0,0,4.5,High,0
Card,Fashion,Bronze,Tier1,Evening,3614.99,2,3,4,0.87,1,0,4.1,High,0
Prepaid,Books,Silver,Metro,Evening,3192.89,3,3,3,0.69,1,0,3.5,Low,0
Card,Beauty,Silver,Metro,Morning,2741.59,1,3,2,0.21,0,1,4.0,High,0
COD,Electronics,Silver,Metro,Afternoon,859.71,1,4,2,0.68,0,0,3.6,High,1
COD,Beauty,Silver,Metro,Evening,1235.52,2,2,5,0.3,0,0,3.8,Low,1
COD,Sports,Silver,Metro,Afternoon,2549.74,1,2,5,0.45,1,0,3.6,Low,0
Prepaid,Sports,Silver,Tier2,Afternoon,2588.77,2,5,3,0.39,1,0,2.6,Medium,0
Card,Toys,Gold,Metro,Afternoon,905.08,1,4,2,0.6,1,1,3.3,High,0
COD,Beauty,Bronze,Tier1,Morning,900.35,1,3,4,0.83,1,1,3.8,Medium,0
Prepaid,Home,Bronze,Tier1,Afternoon,1745.62,2,4,4,0.23,0,0,3.7,Medium,0
COD,Fashion,Bronze,Metro,Afternoon,3674.94,1,5,4,0.25,1,0,2.7,Medium,1
Prepaid,Toys,Bronze,Rural,Afternoon,2073.92,2,5,1,0.97,0,1,4.5,Medium,0
Prepaid,Toys,Silver,Tier2,Evening,2976.98,2,4,5,0.55,1,0,3.4,Medium,1
Card,Toys,Bronze,Tier2,Evening,1942.4,2,3,5,0.79,0,0,4.7,Medium,1
Prepaid,Sports,Silver,Tier1,Afternoon,1593.81,2,3,5,0.9,1,0,3.5,Low,0
COD,Electronics,Bronze,Tier2,Morning,859.27,2,4,5,0.51,1,1,4.6,High,0
COD,Books,Gold,Rural,Evening,543.31,3,4,8,0.64,1,0,3.1,High,0
COD,Home,Bronze,Tier1,Evening,1337.46,1,4,5,0.89,0,0,4.9,High,1
COD,Sports,Silver,Tier1,Afternoon,916.69,2,4,3,0.68,0,0,3.0,High,0
COD,Fashion,Gold,Tier1,Afternoon,692.64,1,2,6,0.35,1,0,2.9,High,0
UPI,Sports,Silver,Rural,Morning,1275.51,3,2,4,0.68,0,1,3.1,High,0
Prepaid,Electronics,Silver,Metro,Evening,945.16,2,5,2,0.97,0,0,2.7,Low,1
Prepaid,Sports,Silver,Tier2,Afternoon,836.42,1,5,5,0.99,0,0,2.9,High,0
COD,Sports,Silver,Metro,Evening,1535.47,1,5,4,0.93,1,1,2.7,Low,0
UPI,Beauty,Bronze,Rural,Afternoon,2327.15,1,4,8,0.78,0,0,3.0,Low,1
Prepaid,Fashion,Silver,Tier2,Afternoon,855.38,1,5,3,0.91,0,0,2.9,High,1
COD,Toys,Silver,Rural,Morning,1470.98,1,5,1,0.53,1,0,4.4,Medium,0
Prepaid,Fashion,Silver,Rural,Evening,1996.49,1,4,8,0.47,1,0,4.0,High,1
Prepaid,Fashion,Silver,Tier2,Evening,1709.17,1,3,6,1.0,1,0,3.2,High,0
COD,Beauty,Bronze,Tier2,Afternoon,372.44,2,4,9,0.91,1,0,2.6,Medium,0
Prepaid,Books,Silver,Tier2,Morning,8560.94,2,4,3,0.29,0,1,4.4,High,0
Prepaid,Sports,Bronze,Tier1,Morning,4128.61,1,5,1,0.85,0,0,4.5,Low,0
COD,Home,Silver,Tier1,Morning,348.23,2,1,8,0.21,0,1,4.7,Low,1
Card,Toys,Bronze,Metro,Evening,1115.4,1,3,5,0.54,1,0,3.7,High,0
UPI,Books,Bronze,Tier1,Afternoon,1433.39,1,1,6,0.27,1,0,4.8,High,0
Prepaid,Electronics,Bronze,Rural,Afternoon,2342.26,1,3,1,0.49,1,0,4.4,High,0
Prepaid,Sports,Gold,Metro,Morning,1846.19,1,4,5,0.85,1,0,2.5,High,0
COD,Toys,Silver,Tier2,Morning,2925.86,1,2,5,0.32,0,0,4.4,Medium,0
Prepaid,Home,Silver,Metro,Morning,1899.21,3,5,3,0.48,0,0,5.0,Medium,1
Prepaid,Sports,Bronze,Tier1,Evening,1879.23,3,3,4,0.4,1,0,4.4,Medium,1
COD,Electronics,Gold,Metro,Afternoon,719.47,1,4,2,0.3,1,0,4.9,High,1
Prepaid,Beauty,Bronze,Tier1,Morning,2890.08,2,5,2,0.98,1,0,3.9,Medium,1
UPI,Books,Gold,Metro,Morning,2153.12,2,2,6,0.55,1,0,3.5,Low,1
Prepaid,Sports,Gold,Tier2,Afternoon,1045.46,1,4,6,0.22,1,0,3.9,High,0
COD,Toys,Gold,Tier2,Evening,831.36,1,5,3,0.74,1,0,2.5,Medium,1
UPI,Fashion,Silver,Tier2,Evening,3120.3,2,4,6,0.62,0,1,3.7,High,0
COD,Home,Bronze,Tier2,Evening,490.82,1,3,4,0.86,0,0,4.1,Medium,1
COD,Sports,Silver,Rural,Afternoon,1021.79,3,5,3,0.49,1,1,4.0,Low,0
COD,Toys,Silver,Tier2,Evening,345.08,1,1,6,0.93,0,0,3.4,Medium,0
COD,Fashion,Gold,Metro,Morning,1485.01,2,3,5,0.22,1,1,4.9,Low,1
UPI,Toys,Silver,Metro,Evening,1303.95,2,5,5,0.62,1,0,4.5,High,0
Prepaid,Sports,Gold,Metro,Afternoon,1348.83,1,2,6,0.59,1,0,4.6,Medium,0
COD,Electronics,Silver,Tier1,Evening,2210.21,1,2,6,0.21,1,0,3.5,High,0
UPI,Fashion,Bronze,Tier1,Afternoon,1742.38,1,4,8,0.25,0,0,2.8,Low,1
UPI,Fashion,Silver,Rural,Afternoon,1201.49,2,3,5,0.43,1,0,3.0,Low,1
UPI,Toys,Gold,Tier1,Evening,1602.39,1,5,2,0.66,1,0,3.6,High,0
COD,Beauty,Gold,Tier2,Morning,1160.03,1,3,4,0.37,0,0,3.2,High,1
Prepaid,Sports,Bronze,Metro,Afternoon,3738.84,1,4,2,0.35,1,0,3.5,Medium,0
Card,Beauty,Bronze,Metro,Evening,2370.46,1,4,2,0.31,0,0,3.1,High,1
UPI,Books,Bronze,Tier2,Afternoon,1786.18,1,4,9,0.94,0,0,5.0,High,1
COD,Electronics,Bronze,Metro,Evening,1256.86,2,4,3,0.65,0,1,3.3,High,0
COD,Beauty,Bronze,Rural,Morning,1431.21,1,2,5,0.4,0,0,3.1,High,0
Prepaid,Toys,Silver,Metro,Afternoon,1570.41,1,1,6,0.98,0,0,4.4,High,1
Card,Sports,Silver,Rural,Morning,1015.83,1,4,4,0.53,1,0,3.6,High,0
Prepaid,Beauty,Gold,Tier2,Morning,1331.45,1,4,1,0.29,0,0,2.8,Low,0
Prepaid,Books,Silver,Tier2,Morning,1012.59,1,4,5,0.61,1,0,2.8,High,0
COD,Home,Bronze,Rural,Morning,1165.89,1,4,8,0.55,0,0,3.7,Low,1
Prepaid,Books,Bronze,Tier1,Morning,1736.01,1,5,5,0.69,1,0,3.6,Medium,0
UPI,Fashion,Silver,Metro,Evening,1413.21,2,1,4,0.76,0,1,3.4,High,0
COD,Sports,Silver,Metro,Morning,725.09,1,3,4,0.48,1,0,4.3,Low,0
UPI,Fashion,Bronze,Metro,Evening,2105.81,3,4,3,0.34,1,0,4.8,High,1
Card,Beauty,Silver,Tier1,Morning,2555.93,3,2,7,0.53,0,0,4.1,Low,0
COD,Beauty,Silver,Rural,Morning,832.94,1,3,4,0.6,1,0,3.9,High,1
Prepaid,Books,Bronze,Metro,Afternoon,1053.78,1,4,3,0.57,0,1,3.7,High,1
COD,Books,Gold,Rural,Evening,598.3,1,5,2,0.23,0,0,4.1,Medium,1
UPI,Toys,Bronze,Rural,Morning,2233.08,3,2,3,0.84,0,0,4.8,Low,1
Prepaid,Electronics,Bronze,Tier2,Morning,756.56,1,4,5,0.47,1,1,3.1,Medium,0
Prepaid,Toys,Silver,Rural,Morning,747.79,2,3,8,0.43,1,0,4.8,Low,1
UPI,Fashion,Silver,Tier2,Evening,1985.41,1,3,3,0.37,1,0,4.7,High,0
COD,Toys,Bronze,Tier1,Evening,949.9,2,4,3,0.67,0,0,3.6,High,0
Card,Books,Silver,Tier2,Evening,316.91,1,4,6,0.67,0,0,2.6,Medium,0
Prepaid,Sports,Gold,Tier2,Afternoon,736.92,2,4,5,0.54,0,0,4.1,Low,1
COD,Toys,Bronze,Metro,Afternoon,1165.76,1,2,2,0.74,1,0,2.9,High,1
Prepaid,Home,Silver,Metro,Morning,2322.74,1,3,7,0.23,1,1,2.6,Low,0
UPI,Electronics,Silver,Tier1,Evening,1410.28,1,5,3,0.84,0,0,3.4,Medium,0
COD,Books,Silver,Metro,Evening,396.72,1,4,5,0.4,0,1,4.6,Low,0
UPI,Sports,Silver,Rural,Afternoon,1258.75,2,4,5,0.57,1,0,2.9,High,1
Card,Beauty,Silver,Tier1,Morning,1369.37,2,3,4,0.8,1,0,4.8,High,0
COD,Toys,Silver,Tier1,Evening,1498.36,1,5,2,0.34,1,0,2.7,Low,1
Card,Books,Silver,Metro,Evening,2762.68,2,3,7,0.92,1,0,2.5,High,0
COD,Beauty,Silver,Tier1,Morning,2396.75,1,3,4,0.31,0,0,2.7,Low,1
COD,Beauty,Bronze,Tier1,Afternoon,986.6,3,4,2,0.85,1,0,3.4,High,1
COD,Fashion,Bronze,Metro,Afternoon,1874.33,1,4,4,0.52,0,0,3.9,Medium,0
UPI,Fashion,Gold,Rural,Evening,1834.33,1,1,2,0.33,1,1,4.8,Medium,1
Prepaid,Sports,Gold,Metro,Morning,1612.87,1,5,4,0.9,0,0,4.4,High,0
COD,Books,Silver,Tier2,Morning,450.45,1,2,2,0.79,0,0,4.7,High,0
COD,Sports,Silver,Metro,Morning,1281.36,3,1,3,0.38,0,0,4.8,Medium,1
Prepaid,Books,Bronze,Rural,Evening,1645.51,1,4,6,0.73,1,0,3.3,Low,0
COD,Home,Silver,Tier2,Afternoon,2397.54,2,1,3,0.32,1,1,3.5,High,1
UPI,Electronics,Silver,Tier2,Afternoon,3616.63,2,3,5,0.98,0,0,4.8,Medium,0
UPI,Electronics,Silver,Tier2,Afternoon,1173.02,1,4,3,0.64,0,0,4.6,Low,1
Prepaid,Books,Bronze,Tier2,Afternoon,1437.56,2,4,5,0.32,1,0,2.8,Medium,0
Card,Fashion,Bronze,Metro,Afternoon,881.63,2,5,5,0.25,1,0,2.9,High,0
COD,Toys,Silver,Tier1,Evening,1205.4,1,3,2,0.7,0,0,4.8,Low,0
Card,Sports,Silver,Metro,Evening,1424.63,1,4,6,0.72,1,0,3.2,Low,0
Prepaid,Home,Gold,Tier1,Afternoon,1908.79,2,5,7,0.98,1,0,3.1,High,0
Prepaid,Electronics,Silver,Tier1,Afternoon,2747.88,2,4,4,0.6,1,0,4.7,High,0
COD,Books,Gold,Tier2,Evening,618.28,1,4,6,0.47,0,1,3.9,Low,0
UPI,Fashion,Bronze,Metro,Afternoon,3555.85,3,3,2,0.77,1,1,3.8,Medium,0
COD,Fashion,Silver,Metro,Afternoon,929.63,2,4,4,0.84,0,1,3.6,Medium,0
COD,Fashion,Bronze,Rural,Afternoon,1266.29,1,5,3,0.75,1,0,4.2,High,1
COD,Sports,Bronze,Rural,Morning,1407.73,2,5,8,0.79,0,0,3.4,Medium,1
Prepaid,Toys,Gold,Rural,Afternoon,4406.74,2,5,5,0.75,0,1,5.0,Medium,0
Prepaid,Beauty,Bronze,Tier2,Morning,2389.55,1,3,5,0.34,0,1,3.5,Medium,1
Prepaid,Sports,Bronze,Metro,Afternoon,2811.42,1,3,2,0.85,1,1,3.0,Medium,0
UPI,Toys,Silver,Rural,Afternoon,1015.52,3,5,3,0.7,1,0,2.7,High,1
COD,Fashion,Silver,Metro,Evening,1643.83,3,4,4,0.51,0,0,4.0,High,1
Prepaid,Books,Silver,Metro,Evening,2390.02,3,4,3,0.73,1,0,4.2,Low,0
COD,Home,Bronze,Metro,Evening,1618.12,1,1,3,0.88,1,1,3.5,Medium,1
UPI,Toys,Silver,Tier2,Morning,1411.83,2,3,8,0.89,1,0,4.9,Low,0
UPI,Books,Silver,Metro,Morning,2247.4,3,2,6,0.47,0,0,2.6,Medium,1
Prepaid,Sports,Gold,Tier2,Afternoon,610.49,1,4,2,0.29,1,0,3.8,High,0
Prepaid,Sports,Gold,Metro,Morning,3796.53,3,5,2,0.38,0,0,4.4,Medium,0
COD,Fashion,Gold,Metro,Evening,821.72,1,3,1,0.69,0,0,3.6,High,0
Prepaid,Home,Gold,Tier1,Morning,1020.33,1,3,5,0.61,1,0,4.1,Medium,0
UPI,Electronics,Silver,Tier1,Afternoon,1764.92,1,5,4,0.6,1,0,4.6,Medium,1
Prepaid,Electronics,Gold,Rural,Morning,2293.94,1,4,2,0.44,1,0,4.4,Medium,1
COD,Sports,Gold,Rural,Evening,2709.99,2,4,8,0.26,1,0,3.9,High,1
Prepaid,Books,Bronze,Metro,Afternoon,1756.04,3,3,3,0.44,0,1,4.9,High,0
UPI,Home,Bronze,Rural,Morning,1707.31,1,3,5,0.75,1,0,5.0,Medium,1
COD,Books,Bronze,Tier2,Afternoon,1470.51,2,4,10,0.7,1,0,4.0,High,1
COD,Home,Bronze,Tier1,Afternoon,522.85,1,2,10,0.42,1,0,2.7,High,0
Prepaid,Home,Gold,Tier2,Morning,2564.61,1,2,5,0.82,0,0,3.1,High,0
UPI,Sports,Gold,Rural,Afternoon,2573.52,3,3,3,0.97,1,0,4.4,Low,0
COD,Books,Silver,Metro,Morning,1558.26,3,3,10,0.4,1,0,3.6,Medium,1
COD,Sports,Bronze,Metro,Evening,1519.21,1,5,5,0.83,1,0,4.1,High,1
COD,Home,Bronze,Tier1,Evening,2220.01,2,3,6,0.83,1,0,2.6,Medium,0
COD,Toys,Silver,Metro,Morning,1596.33,1,5,9,0.63,0,1,5.0,Low,1
Prepaid,Fashion,Gold,Tier1,Morning,773.52,1,5,3,0.21,1,0,3.6,Low,1
Prepaid,Home,Silver,Tier2,Afternoon,3364.19,1,3,3,0.44,1,0,4.4,Low,1
Prepaid,Toys,Silver,Tier2,Morning,2266.99,1,4,3,0.23,1,0,4.4,High,0
Prepaid,Home,Silver,Tier1,Afternoon,2355.07,2,3,10,0.53,1,0,3.7,High,0
COD,Toys,Bronze,Metro,Evening,2176.58,3,4,5,0.66,0,1,4.5,Medium,0
UPI,Books,Silver,Tier2,Morning,787.88,2,3,3,0.55,0,0,3.3,Medium,0
Prepaid,Electronics,Bronze,Tier1,Evening,2083.52,2,4,4,0.76,1,1,2.6,High,0
Card,Beauty,Silver,Tier2,Morning,1587.57,1,4,4,0.39,1,0,3.4,High,0
Prepaid,Home,Silver,Rural,Evening,1791.46,1,4,4,0.26,1,0,4.0,High,0
COD,Beauty,Bronze,Rural,Morning,1403.72,1,4,3,0.34,1,0,2.6,Low,1
Prepaid,Home,Silver,Tier2,Morning,1858.94,2,3,6,0.41,1,0,4.2,Medium,0
COD,Books,Silver,Tier1,Afternoon,2327.8,2,4,5,0.39,1,1,4.9,Low,0
Prepaid,Books,Bronze,Metro,Afternoon,3825.01,1,3,7,0.61,0,0,3.1,Low,0
COD,Toys,Bronze,Tier2,Morning,843.34,1,5,4,0.92,0,1,2.6,Low,0
COD,Home,Gold,Rural,Afternoon,2333.35,1,4,5,0.49,1,0,2.7,High,1
UPI,Books,Silver,Metro,Morning,2292.11,3,3,5,0.27,1,0,2.6,Medium,0
COD,Books,Silver,Metro,Morning,1801.99,1,4,4,0.86,0,0,4.8,High,0
UPI,Home,Bronze,Tier2,Evening,1976.88,3,4,5,0.21,0,0,3.0,High,0
COD,Toys,Bronze,Metro,Afternoon,948.04,1,5,4,0.61,0,0,3.3,Medium,0
Prepaid,Toys,Gold,Metro,Afternoon,2593.7,2,5,4,0.85,1,0,4.8,High,0
Prepaid,Toys,Gold,Rural,Evening,3925.8,1,2,9,0.65,0,0,2.7,Medium,0
Prepaid,Toys,Bronze,Metro,Morning,2579.86,1,5,4,0.94,1,0,4.0,High,0
COD,Electronics,Silver,Metro,Afternoon,2680.62,3,2,6,0.22,0,1,3.1,Low,0
COD,Home,Silver,Tier2,Morning,1034.95,3,3,4,0.95,0,0,4.8,High,0
COD,Sports,Gold,Tier2,Afternoon,2047.54,2,5,3,0.8,1,0,2.5,Low,0
COD,Electronics,Silver,Tier1,Afternoon,892.96,2,2,2,0.46,1,0,3.6,Low,1
Prepaid,Books,Bronze,Tier1,Morning,907.56,3,5,7,0.7,0,0,4.8,High,1
Card,Electronics,Silver,Tier2,Morning,2635.02,1,4,3,0.65,1,0,4.0,High,0
UPI,Sports,Silver,Tier1,Afternoon,735.96,2,5,3,0.93,1,1,3.2,High,0
UPI,Sports,Bronze,Metro,Evening,1060.57,2,4,5,0.53,0,0,4.3,High,0
UPI,Sports,Gold,Metro,Evening,2121.49,1,5,5,0.28,1,0,4.1,Low,0
Prepaid,Toys,Gold,Tier2,Evening,2701.37,1,4,5,0.25,0,0,3.3,High,1
COD,Books,Bronze,Tier2,Evening,1004.24,1,4,2,0.53,1,1,4.9,Low,1
Card,Electronics,Bronze,Tier2,Evening,2179.9,2,5,3,0.99,0,0,4.7,High,0
Prepaid,Electronics,Silver,Tier2,Morning,2495.43,2,1,4,0.7,1,0,4.3,Medium,0
Prepaid,Home,Silver,Tier2,Afternoon,779.84,1,4,6,0.79,1,1,3.8,Medium,0
COD,Electronics,Silver,Metro,Evening,2077.43,2,4,4,0.97,1,0,3.2,Medium,0
COD,Books,Silver,Rural,Afternoon,1096.01,1,3,2,0.73,1,0,3.4,High,1
Prepaid,Toys,Gold,Rural,Morning,2285.66,1,2,4,0.68,0,0,3.7,Medium,0
UPI,Home,Silver,Tier1,Afternoon,1432.4,3,4,3,0.35,0,1,2.5,High,0
Prepaid,Electronics,Gold,Metro,Morning,2005.72,1,5,10,0.43,1,0,4.0,High,0
COD,Home,Bronze,Tier2,Afternoon,1068.34,2,4,4,0.9,1,0,2.6,High,1
Card,Beauty,Silver,Tier2,Afternoon,4912.53,2,5,5,0.61,0,1,3.6,Medium,1
COD,Home,Silver,Metro,Morning,2676.47,1,4,4,0.89,1,0,4.2,High,0
COD,Sports,Gold,Tier2,Afternoon,984.37,1,3,3,0.21,0,1,3.6,High,0
COD,Toys,Gold,Tier2,Morning,1654.19,1,3,2,0.6,1,1,3.4,High,0
Prepaid,Sports,Bronze,Tier2,Afternoon,768.01,1,5,1,0.45,1,0,3.1,High,0
Card,Beauty,Bronze,Metro,Afternoon,2162.02,1,2,2,0.42,1,0,2.6,High,0
COD,Sports,Bronze,Metro,Evening,569.99,1,4,5,0.89,1,0,3.3,Medium,0
UPI,Beauty,Bronze,Tier2,Afternoon,1156.71,1,5,5,0.87,0,0,3.9,Medium,0
COD,Home,Gold,Rural,Evening,956.86,1,4,3,0.92,1,0,3.2,Medium,0
Card,Books,Bronze,Tier1,Evening,1899.13,2,5,3,0.54,1,1,4.3,High,0
UPI,Toys,Gold,Tier2,Morning,2304.79,2,3,1,0.97,0,0,3.6,High,1
UPI,Books,Gold,Metro,Morning,1654.41,3,1,3,0.46,0,1,3.6,Low,0
COD,Toys,Bronze,Tier2,Afternoon,780.81,1,3,3,0.99,1,0,3.3,Low,0
Card,Toys,Bronze,Rural,Morning,2179.68,1,4,6,0.81,0,0,4.4,Medium,0
Prepaid,Sports,Bronze,Tier2,Evening,4470.99,2,4,1,0.72,0,0,3.4,High,0
COD,Sports,Bronze,Rural,Afternoon,3946.88,3,4,3,0.91,1,0,3.3,High,1
UPI,Books,Bronze,Tier2,Morning,889.54,1,4,8,0.71,0,0,4.5,High,1
COD,Fashion,Gold,Tier2,Morning,688.05,1,5,6,0.54,1,1,3.4,High,0
UPI,Beauty,Bronze,Metro,Morning,1577.51,1,4,7,0.49,0,1,2.5,Low,0
COD,Sports,Silver,Metro,Evening,453.89,1,5,1,0.31,1,0,3.7,Medium,1
Prepaid,Sports,Bronze,Metro,Morning,1102.34,1,2,4,0.58,1,0,2.8,Medium,0
Prepaid,Sports,Bronze,Tier1,Afternoon,2626.5,1,5,4,0.83,0,0,4.9,Medium,0
COD,Home,Silver,Tier1,Afternoon,633.96,2,4,2,0.31,1,0,4.9,High,0
COD,Books,Bronze,Tier2,Afternoon,730.88,1,5,2,0.94,0,1,4.7,High,1
COD,Books,Silver,Rural,Evening,1616.1,2,4,4,0.38,1,0,4.7,Medium,0
Prepaid,Sports,Bronze,Tier2,Morning,1612.12,2,2,7,0.97,1,1,4.8,Medium,0
COD,Home,Gold,Metro,Afternoon,938.68,2,3,4,0.57,0,1,4.3,Medium,0
Prepaid,Sports,Silver,Rural,Morning,2054.82,2,1,5,0.31,0,0,2.6,High,1
